期号,first1,first2,first3,first4,first5,last1,last2,一等奖注数,一等奖奖金(元),二等奖注数,二等奖奖金(元),销售额(元),奖池奖金（元）,开奖日期,1~2,2~3,3~4,4~5,last1~last2
19097,10,17,20,30,35,10,12,4,18000000.0,72,1683149.0,265934781,3499337220.66,2019-08-21,7,3,10,5,2
19096,2,12,22,23,27,2,6,2,18000000.0,128,950011.0,264716811,3519455538.67,2019-08-19,10,10,1,4,4
19095,3,12,17,19,31,2,6,11,18000000.0,159,691025.0,285599790,3519353885.34,2019-08-17,9,5,2,12,4
19094,1,12,14,26,27,7,9,1,10000000.0,80,1416367.0,268760225,3605111819.48,2019-08-14,11,2,12,1,2
19093,16,17,26,29,35,1,7,11,18000000.0,140,512235.0,263591081,3598377683.32,2019-08-12,1,9,3,6,6
19092,2,11,15,27,30,2,5,5,18000000.0,152,761371.0,282457933,3693574033.39,2019-08-10,9,4,12,3,3
19091,4,13,20,26,28,3,12,1,10000000.0,92,1316917.0,269521488,3724322762.61,2019-08-07,9,7,6,2,9
19090,13,19,28,30,33,2,12,2,10000000.0,59,1903163.0,267395452,3716328636.1,2019-08-05,6,9,2,3,10
19089,9,14,18,33,34,3,12,6,18000000.0,126,1106076.0,297660456,3719449575.77,2019-08-03,5,4,15,1,9
19088,1,5,18,27,33,6,8,8,18000000.0,99,1129444.0,270234407,3755102164.41,2019-07-31,4,13,9,6,2
19087,5,6,18,19,27,7,12,10,10000000.0,191,406045.0,265658108,3816395392.04,2019-07-29,1,12,1,8,5
19086,5,15,16,28,31,2,7,17,18000000.0,336,186768.0,288257269,3904840978.2,2019-07-27,10,1,12,3,5
19085,4,5,6,15,26,8,11,4,18000000.0,114,793810.0,266144001,4061417388.9,2019-07-24,1,1,9,11,3
19084,12,23,25,34,35,1,7,3,18000000.0,99,1150362.0,267484415,4085660246.49,2019-07-22,11,2,9,1,6
19083,17,24,26,28,32,7,9,4,18000000.0,128,765768.0,292813014,4096211433.05,2019-07-20,7,2,2,4,2
19082,6,18,20,21,31,3,4,9,18000000.0,106,1100260.0,271428141,4117332392.64,2019-07-17,12,2,1,10,1
19081,6,24,26,30,33,2,7,5,18000000.0,84,1573000.0,272912117,4186160785.64,2019-07-15,18,2,4,3,5
19080,5,13,18,19,24,2,7,9,18000000.0,176,550839.0,296452290,4212738027.93,2019-07-13,8,5,1,5,5
19079,10,13,16,28,35,4,5,4,10000000.0,83,1268877.0,271256673,4282392620.57,2019-07-10,3,3,12,7,1
19078,5,10,21,26,30,1,7,0,0.0,179,944260.0,272470927,4306208094.02,2019-07-08,5,11,5,4,6
19077,1,15,17,21,33,7,10,1,10000000.0,77,1607794.0,293644337,4306208094.02,2019-07-06,14,2,4,12,3
19076,1,6,11,23,29,1,11,5,10000000.0,95,1332514.0,266685847,4297766552.19,2019-07-03,5,5,12,6,10
19075,5,6,7,11,16,2,11,6,18000000.0,135,648451.0,264828767,4329058171.28,2019-07-01,1,1,4,5,9
19074,8,9,13,14,34,5,7,3,10000000.0,138,976494.0,301323048,4372011525.4,2019-06-29,1,4,1,20,2
19073,4,11,19,20,24,8,11,2,10000000.0,255,317673.0,271821466,4382364770.03,2019-06-26,7,8,1,4,3
19072,2,4,6,9,18,7,10,1,10000000.0,111,866361.0,269398842,4390457898.5,2019-06-24,2,2,3,9,3
19071,7,13,14,15,22,7,11,5,10000000.0,151,742834.0,295494008,4386203653.53,2019-06-22,6,1,1,7,4
19070,2,13,15,22,34,2,12,1,10000000.0,65,2135786.0,271071777,4419628452.27,2019-06-19,11,2,7,12,10
19069,8,22,23,33,34,4,6,14,18000000.0,113,1195821.0,277867343,4409347603.61,2019-06-17,14,1,10,1,2
19068,4,5,8,17,27,6,11,9,18000000.0,96,1027114.0,302523734,4527560332.13,2019-06-15,1,3,9,10,5
19067,3,8,11,15,16,2,10,6,10000000.0,121,962965.0,281702303,4596914428.4,2019-06-12,5,3,4,1,8
19066,4,10,11,18,31,5,8,5,10000000.0,166,477203.0,272861483,4639229846.44,2019-06-10,6,1,7,13,3
19065,3,8,10,23,27,2,12,5,18000000.0,135,884777.0,295446062,4677385384.87,2019-06-08,5,2,13,4,10
19064,7,8,13,19,29,11,12,0,0.0,156,752477.0,277172405,4705583931.89,2019-06-05,1,5,6,10,1
19063,5,8,15,18,21,4,8,7,10000000.0,227,345789.0,269890522,4705583931.89,2019-06-03,3,7,3,3,4
19062,5,16,23,25,28,1,12,6,18000000.0,207,435749.0,292876443,4764031989.12,2019-06-01,11,7,2,3,11
19061,1,2,13,14,26,5,11,4,10000000.0,130,786195.0,272417820,4808403292.26,2019-05-29,1,11,1,12,6
19060,1,11,12,18,21,8,10,0,0.0,111,1277049.0,269705099,4833102718.66,2019-05-27,10,1,6,3,2
19059,7,8,15,27,32,8,12,3,10000000.0,189,652539.0,301599968,4833102718.66,2019-05-25,1,7,12,5,4
19058,3,10,13,14,32,7,11,7,18000000.0,97,1162198.0,275571204,4845045371.81,2019-05-22,7,3,1,18,4
19057,8,14,16,34,35,6,12,4,18000000.0,113,1028788.0,276199961,4894582543.02,2019-05-20,6,2,18,1,6
19056,1,7,10,12,23,6,8,7,18000000.0,130,939164.0,305996270,4915397954.52,2019-05-18,6,3,2,11,2
19055,2,4,6,19,22,2,6,4,18000000.0,109,1025569.0,283602540,4963149792.21,2019-05-15,2,2,13,3,4
19054,2,18,23,27,30,5,10,36,18000000.0,248,199936.0,276149811,4984758179.7,2019-05-13,16,5,4,3,5
19053,1,11,19,26,35,11,12,1,10000000.0,117,1127086.0,302681393,5323214068.97,2019-05-11,10,8,7,9,1
19052,4,10,15,20,24,7,11,5,18000000.0,133,875934.0,276499358,5313363213.2,2019-05-08,6,5,5,4,4
19051,11,15,16,20,29,4,8,1,10000000.0,139,901708.0,271425230,5344151471.31,2019-05-06,4,1,4,9,4
19050,4,15,16,20,35,3,12,3,10000000.0,65,1952125.0,285832883,5336065896.62,2019-05-04,11,1,4,15,9
19049,10,16,22,26,27,7,11,6,18000000.0,126,931318.0,258571922,5347345506.43,2019-05-01,6,6,4,1,4
19048,6,10,16,29,33,5,11,7,18000000.0,217,413195.0,277776696,5385687606.44,2019-04-29,4,6,13,4,6
19047,3,4,10,16,32,4,9,10,18000000.0,137,754866.0,301841890,5438181602.71,2019-04-27,1,6,6,16,5
19046,2,8,14,15,35,10,12,5,10000000.0,259,357039.0,279781730,5516686407.37,2019-04-24,6,6,1,20,2
19045,1,4,16,19,33,3,12,49,18000000.0,350,164822.0,266773843,5552688626.28,2019-04-22,3,12,3,14,9
19044,3,6,10,12,31,1,2,3,10000000.0,110,1237386.0,297670249,6008098540.8,2019-04-20,3,4,2,19,1
19043,2,6,7,12,15,6,12,30,18000000.0,88,1312507.0,265838829,6017894922.86,2019-04-17,4,1,5,3,6
19042,4,10,13,28,33,11,12,11,18000000.0,110,1000033.0,266281814,6274619165.19,2019-04-15,6,3,15,5,1
19041,12,19,20,22,28,2,6,34,18000000.0,92,1241069.0,278194830,6358353641.44,2019-04-13,7,1,2,6,4
19040,1,3,31,32,34,1,3,19,18000000.0,96,1234182.0,256461644,6679434766.57,2019-04-10,2,28,1,2,2
19039,1,12,18,26,35,6,12,12,18000000.0,92,1342256.0,258620074,6835874897.75,2019-04-08,11,6,8,9,6
19038,5,11,16,18,27,7,12,4,18000000.0,127,824349.0,273576520,6935534546.87,2019-04-06,6,5,2,9,5
19037,6,16,26,33,35,4,8,2,10000000.0,1124,97581.0,259744189,6957878946.51,2019-04-03,10,10,7,2,4
19036,3,9,21,28,30,1,12,5,18000000.0,149,805969.0,264051280,6962303972.24,2019-04-01,6,12,7,2,11
19035,1,3,5,7,18,8,9,7,18000000.0,224,395913.0,278976389,6990724179.86,2019-03-30,2,2,2,11,1
19034,8,12,15,27,30,1,2,2,10000000.0,144,797835.0,263239739,7043311560.73,2019-03-27,4,3,12,3,1
19033,1,2,4,16,24,7,9,5,18000000.0,47,2413758.0,259583444,7046359232.57,2019-03-25,1,2,12,8,2
19032,1,4,7,11,30,7,8,3,18000000.0,119,882856.0,281069928,7075490419.61,2019-03-23,3,3,4,19,1
19031,3,8,21,26,33,4,5,6,18000000.0,429,174787.0,258941467,7087941067.17,2019-03-20,5,13,5,7,1
19030,7,9,13,14,33,2,4,0,0.0,90,1663686.0,259512014,7130547448.93,2019-03-18,2,4,1,19,2
19029,1,4,18,24,28,2,3,2,18000000.0,96,1563946.0,286607872,7130547448.93,2019-03-16,3,14,6,4,1
19028,6,22,28,29,33,2,7,0,0.0,79,2062978.0,265043546,7126442763.63,2019-03-13,16,6,1,4,5
19027,16,18,24,25,27,2,7,1,10000000.0,123,911584.0,258310439,7126442763.63,2019-03-11,2,6,1,2,5
